maleIsoIndMeans,femaleIsoIndMeans,maleGroupIsoMean,femaleGroupIsoMean,day1toDay2,day2toDay3,normDay1mean,normDay2mean,normDay3mean
191.666666666667,168.233333333333,198.105128205128,141.855555555556,1,2,2.60167892520229,2.4977005772516,2.41294016284276
226.5,92.1,NaN,NaN,3,9,NaN,NaN,NaN
178.166666666667,121.733333333333,NaN,NaN,4,12,NaN,NaN,NaN
211.966666666667,151.966666666667,NaN,NaN,5,14,NaN,NaN,NaN
210.666666666667,127.566666666667,NaN,NaN,6,15,NaN,NaN,NaN
210.333333333333,162,NaN,NaN,7,16,NaN,NaN,NaN
232.366666666667,201.733333333333,NaN,NaN,8,17,NaN,NaN,NaN
262.133333333333,174.433333333333,NaN,NaN,9,19,NaN,NaN,NaN
146.166666666667,130.1,NaN,NaN,16,20,NaN,NaN,NaN
185.5,111.8,NaN,NaN,17,21,NaN,NaN,NaN
242.666666666667,151.933333333333,NaN,NaN,22,23,NaN,NaN,NaN
142.066666666667,108.666666666667,NaN,NaN,23,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
